model,10#_19_4.6,10#_38_4.6,7#_16_Yellow,7#_25_Black,7#_25_Yellow,7#_40_Black,7#_40_Yellow,8#_16_Round,M3_10_Flat,M3_10_Round,M3_14_Flat,M3_14_Round,M3_18_Flat,M3_18_Round,M3_6_Flat,M3_6_Round,M4.2_20_Flat,M4.2_20_Round,M4.2_25_Flat,M4.2_25_Round,M4_12_Flat,M4_12_Round,M4_16_Flat,M4_16_Round,M4_18_Flat,M4_18_Round,M4_25_Flat,M4_25_Round,M4_30_Flat,M4_30_Round,M4_8_Flat,M4_8_Round,M5_10_Flat,M5_10_Round,M5_16_Flat,M5_16_Round,M5_18_Flat,M5_18_Round,M5_20_Flat,M6_20_Round
resnet18,17.19,38.54,0.52,3.65,0.00,61.98,30.21,6.77,10.94,2.60,0.00,0.52,3.65,6.25,9.90,2.08,0.00,0.00,1.56,15.62,0.00,0.00,0.00,0.00,1.56,5.73,2.60,13.54,19.79,31.25,0.52,4.17,4.69,10.42,0.52,0.00,8.85,4.17,17.19,32.29
squeezenet1_1,40.10,45.31,25.00,40.62,24.48,93.75,19.79,18.75,3.65,3.12,2.08,3.65,1.56,3.65,9.90,0.52,5.21,1.04,10.42,8.85,4.69,6.25,7.81,4.17,10.94,4.17,35.42,22.40,17.19,38.02,11.46,11.46,23.44,13.02,0.00,13.02,15.62,0.52,18.23,44.27
mobilenet_v3_large,19.27,36.46,7.81,29.17,11.98,46.35,16.67,30.21,1.56,0.52,1.56,0.52,0.52,8.33,16.67,0.00,4.69,0.00,6.77,13.02,0.00,0.00,0.00,0.52,0.00,0.00,31.25,12.50,20.31,67.19,0.00,0.00,2.60,3.12,0.00,0.00,5.73,0.52,4.17,43.23
mobilenetv4_conv_small,17.71,55.21,3.65,31.25,1.04,19.79,25.52,6.25,17.71,0.00,0.00,0.00,0.00,0.00,3.12,0.00,0.00,0.00,0.00,17.19,0.00,0.00,0.00,0.00,0.00,0.00,4.69,3.65,9.90,55.73,1.56,1.04,4.69,1.56,0.52,0.00,6.77,4.69,1.56,16.67
shufflenet_v2_x1_0,33.33,45.83,22.40,16.15,15.62,54.69,11.98,2.08,4.17,1.04,0.00,11.46,4.17,7.29,3.65,0.00,0.00,0.00,7.81,12.50,0.00,5.21,3.65,0.00,3.12,6.25,22.40,4.69,11.98,69.27,8.85,2.60,21.88,4.69,2.60,4.69,17.19,5.21,10.42,33.33
efficientnetv2_rw_s,18.75,22.40,3.65,33.33,17.71,79.69,15.62,26.04,0.00,5.73,0.52,2.60,0.00,5.73,3.65,22.40,6.25,5.73,8.33,8.85,0.00,0.00,0.00,4.17,0.00,1.04,27.60,19.79,16.67,25.52,0.00,8.85,9.38,6.77,3.65,5.21,13.02,2.08,4.69,16.15
ghostnetv2_100,32.81,48.96,18.23,30.21,6.25,76.56,24.48,28.12,0.00,0.00,0.00,5.21,9.38,9.90,2.08,1.04,2.08,8.33,2.08,11.98,0.52,0.00,0.00,0.52,0.00,0.00,15.62,9.90,8.85,43.75,0.52,6.77,18.75,9.90,3.12,1.04,6.25,1.04,0.52,20.31
convnextv2_atto,39.58,51.04,14.58,20.83,14.06,21.88,28.65,16.15,0.00,0.00,0.00,1.56,2.08,2.60,44.79,0.00,1.04,0.52,2.08,10.42,0.52,0.52,0.00,0.52,1.04,2.08,4.17,2.08,4.69,6.77,0.52,0.00,11.98,0.00,0.00,0.00,7.29,0.00,0.00,17.71
vit_tiny_patch16_224,62.50,56.77,39.06,59.90,47.40,70.31,49.48,34.38,18.23,4.69,6.77,5.21,8.85,8.33,60.42,1.56,17.71,19.27,21.35,17.19,0.00,0.00,0.52,1.04,0.52,7.81,35.94,18.23,26.56,36.46,13.02,0.00,15.62,7.29,6.77,9.90,17.19,10.42,11.46,19.27
vit_small_patch16_224,64.58,63.54,50.52,53.65,44.79,66.67,50.52,43.23,19.27,6.25,21.88,8.33,17.19,14.58,65.62,4.17,22.92,21.88,19.79,17.19,0.52,0.52,2.08,11.46,5.21,8.33,35.94,19.27,35.94,36.98,11.98,0.00,31.77,10.94,14.06,13.02,17.19,11.98,12.50,20.31
deit_tiny_patch16_224,55.21,53.12,30.73,45.31,30.21,42.71,38.02,21.88,3.12,0.00,2.08,4.69,9.38,2.60,66.67,2.60,12.50,10.42,16.67,17.71,1.04,0.00,0.00,0.52,0.52,4.17,33.33,19.79,27.08,36.98,11.46,0.52,17.71,1.56,2.08,4.17,17.19,5.73,9.38,17.71
deit_small_patch16_224,64.06,62.50,48.96,54.69,41.15,61.98,39.58,16.15,2.60,1.56,5.73,8.85,6.77,6.25,68.23,2.08,13.54,11.98,12.50,19.79,0.00,0.52,1.04,1.56,1.04,5.21,39.58,17.19,38.54,38.02,3.12,0.00,21.88,1.04,4.17,4.69,18.23,5.21,10.42,19.27
swin_tiny_patch4_window7_224,81.25,75.00,60.94,60.94,44.79,73.96,59.90,37.50,21.88,19.79,21.35,22.92,18.23,19.27,64.58,10.42,36.46,30.21,34.90,36.46,15.62,18.23,18.75,18.75,22.40,8.33,42.19,26.56,41.67,39.58,18.75,8.33,48.44,26.04,27.60,29.69,20.31,20.31,22.92,30.21
mobilevit_s,54.17,78.12,29.69,47.92,37.50,73.44,45.31,35.94,22.92,13.54,19.79,6.25,17.71,19.27,22.92,17.71,30.73,17.71,35.42,23.44,6.25,6.25,7.29,18.23,14.58,1.56,41.15,16.67,69.27,74.48,13.54,1.04,50.00,31.25,25.00,14.58,22.92,2.60,18.23,39.06
efficientformer_l1,46.35,51.56,14.06,26.56,29.69,82.81,40.10,30.21,3.12,1.56,8.85,0.52,3.65,7.29,0.52,0.00,14.06,8.85,8.85,11.98,1.04,0.00,2.60,2.60,0.52,0.52,46.35,2.08,22.92,69.27,8.85,0.52,15.10,9.90,9.90,13.54,13.02,1.56,12.50,22.40
convnext_tiny,83.85,86.98,73.44,89.58,79.17,94.27,89.58,60.42,45.31,23.96,38.02,29.17,40.62,23.96,76.04,18.75,46.35,38.02,47.40,23.44,30.73,21.35,29.69,35.42,36.98,28.65,66.15,33.33,59.38,67.71,26.04,10.94,32.81,33.33,36.46,41.15,27.08,21.35,34.90,33.85